year,segment_Fitness,segment_Outdoor,segment_Aviation,segment_Marine,segment_Auto OEM,revenue,cogs,rd,cash_sga,capex,depreciation,amortization,da,ebitda,ebit,interest,taxes,net_income,ar,inventory,ap,other_current_assets,accrued,nwc,change_nwc,cfo,fcff,dividends,opening_debt,borrowing,mandatory_repayment,optional_repayment,debt,cash,cfi,cff,cash_change,ppe,intangibles,goodwill,investments,other_assets,other_current_liabilities,other_liabilities,equity,current_liabilities,assets,check_balance,check_cash,check_equity,check_debt,check_ppe
2025,1934.1908300000002,2079.7094,920.4447000000001,1137.5835200000001,702.213,6774.141450000001,2797.7204188500004,1070.3143491,1009.34707605,237.09495075000007,149.09746229125,30.666,179.76346229125,1896.7596060000005,1716.9961437087504,0.0,360.5691901788376,1356.426953529913,1057.8796236986302,1532.9974897808222,383.24937244520555,379.35192120000005,230.32080930000004,2356.658852934247,121.36985293424686,1414.820562886916,1177.725612136916,542.5707814119652,0.0,0.0,0.0,0.0,0.0,2714.6228307249507,-237.09495075000007,-542.5707814119652,635.1548307249508,1324.88148845875,123.49700000000001,603.947,1619.601,1125.089,931.7719999999999,274.27099999999996,8662.254172117948,1545.3421817452054,10481.867353863154,0.0,0.0,-1.1368683772161603e-13,0.0,-5.684341886080802e-14
2026,2108.2680047000003,2204.4919640000003,966.4669350000001,1205.8385312000003,807.5449499999999,7292.610384900001,3011.8480889637003,1152.2324408142001,1086.5989473501002,255.24136347150005,159.775238721395,30.666,190.441238721395,2041.9309077720002,1851.4896690506052,0.0,388.8128305006271,1462.6768385499781,1138.8460053131507,1650.3277199801098,412.58192999502745,408.3861815544001,247.94875308660005,2537.0292237660333,180.3703708317862,1472.7477064395869,1217.5063429680868,585.0707354199913,0.0,0.0,0.0,0.0,0.0,3347.0584382730462,-255.24136347150005,-585.0707354199913,632.4356075480955,1420.3476132088551,92.83100000000002,603.947,1619.601,1125.089,931.7719999999999,274.27099999999996,9539.860275247935,1592.3026830816275,11406.433958329562,0.0,0.0,0.0,0.0,5.684341886080802e-14
2027,2298.0121251230007,2336.76148184,1014.7902817500002,1278.1888430720003,928.6766924999997,7856.429424285001,3244.705352229705,1241.3158490370301,1170.6079842184652,274.97502984997504,171.3618640947227,30.666,202.0278640947227,2199.8002387998013,1997.7723747050786,0.0,419.5321986880665,1578.2401760170121,1226.8944580390275,1777.9207409477838,444.48018523694594,439.96004775996005,267.11860042569003,2733.176461084135,196.14723731810182,1584.120802793633,1309.145772943658,631.2960704068049,0.0,0.0,0.0,0.0,0.0,4024.9081408098996,-274.97502984997504,-631.2960704068049,677.849702536853,1523.9607789641075,62.16500000000002,603.947,1619.601,1125.089,931.7719999999999,274.27099999999996,10486.804380858142,1643.3707856626359,12404.446166520778,0.0,-4.547473508864641e-13,5.684341886080801e-13,0.0,0.0
2028,2504.833216384071,2476.9671707504003,1065.5297958375002,1354.8801736563203,1067.9781963749997,8470.188553003292,3498.1878723903596,1338.2897913745203,1262.0580943974905,296.45659935511526,183.94079865058316,30.666,214.60679865058316,2371.6527948409225,2157.0459961903393,0.0,452.97965919997125,1704.0663369903682,1322.741774030651,1916.815272542663,479.20381813566576,474.3305589681844,287.98641080211195,2946.697376603721,213.52091551958574,1705.1522201213656,1408.6956207662504,681.6265347961473,0.0,0.0,0.0,0.0,0.0,4751.977226780004,-296.45659935511526,-681.6265347961473,727.0690859701031,1636.4765796686395,31.49900000000002,603.947,1619.601,1125.089,931.7719999999999,274.27099999999996,11509.244183052364,1698.9622289377776,13482.477411990141,0.0,-9.094947017729282e-13,6.821210263296962e-13,0.0,-8.526512829121202e-14
2029,2730.2682058586374,2625.5852009954247,1118.8062856293752,1436.1729840756996,1228.1749258312495,9139.007602390386,3774.410139787229,1443.963201177681,1361.7121327561674,319.8652660836635,197.60501339815184,30.666,228.27101339815184,2558.922128669308,2330.6511152711564,0.0,489.43673420694284,1841.2143810642135,1427.187488592471,2068.1699396094405,517.0424849023601,511.7844257338616,310.72625848127313,3179.37311055214,232.6757339484193,1836.8096605139463,1516.9443944302827,736.4857524256854,0.0,0.0,0.0,0.0,0.0,5532.435868784602,-319.8652660836635,-736.4857524256854,780.4586420045973,1758.7368323541511,0.8330000000000197,603.947,1619.601,1125.089,931.7719999999999,274.27099999999996,12613.972811690892,1759.540743383633,14647.784555074526,0.0,-9.094947017729282e-13,-2.2737367544323206e-13,0.0,-2.842170943040401e-14
