year,ebitda,ebit,taxes,fcf,opening_debt,borrowing,mandatory_repayment,optional_repayment,interest,debt,cash,leverage,interest_coverage
2025,1896.7596060000005,1716.9961437087504,277.1656636788376,863.9694886369163,5295.4619999999995,0.0,52.95462,811.0148686369162,397.15964999999994,4431.492511363083,300.0,2.33634905411576,4.3231887824172235
2026,2041.9309077720002,1851.4896690506052,319.0168234466585,954.9404116698242,4431.492511363083,0.0,52.95462,901.9857916698243,332.3619383522312,3476.5520996932587,300.0,1.702580673254321,5.570703066150823
2027,2199.8002387998013,1997.7723747050786,364.7765031178977,1103.1600610368323,3476.5520996932587,0.0,52.95462,1050.2054410368323,260.74140747699437,2373.3920386564264,300.0,1.078912528871865,7.661891504061722
2028,2371.6527948409225,2157.0459961903393,415.59873459113254,1268.072142475857,2373.3920386564264,0.0,52.95462,1215.117522475857,178.00440289923196,1105.3198961805695,300.0,0.46605468497959807,12.117936191788694
2029,2558.922128669308,2330.6511152711564,472.0279458420988,1451.454190581584,1105.3198961805695,0.0,52.95462,1052.3652761805695,82.89899221354271,0.0,646.1342944010146,0.0,28.11434799192181
