,10,12,14,16,18
0.07,23633.756902795547,27282.70912702784,30931.661351260133,34580.613575492425,38229.56579972471
0.08,22656.978485805055,26140.097292385402,29623.216098965753,33106.3349055461,36589.453712126444
0.09,21731.237013212973,25057.484626244084,28383.732239275203,31709.979852306315,35036.22746533742
0.1,20853.398153658305,24031.1767811357,27208.955408613092,30386.734036090482,33564.512663567875
0.11,20020.547092180146,23057.73856349462,26094.930034809084,29132.121506123556,32169.31297743802
