year,period_end,revenue,cogs,gross_profit,ebit,sga,rd,depreciation,amortization,taxes,net_income,cash,ar,inventory,other_current_assets,ppe,intangibles,goodwill,ap,accrued,current_liabilities,assets,equity,investments,cfo,capex,cfi,cff,dividends,employee_share_withholding,sbc,restricted_cash_total,cash_change,fx_cash,acquisitions,repurchase_plan,buybacks,debt,interest,debt_issuance,debt_repayment,da,ebitda,other_assets,other_current_liabilities,other_liabilities,revenue_growth,gross_profit_growth,ebitda_growth,gross_profit_margin,ebitda_margin,ebit_margin,net_income_margin,cfo_margin,roa,roe,roic,net_debt_ebitda,debt_equity,interest_coverage,fcf,fcf_conversion,capex_ratio,dso,dio,dpo,cash_conversion_cycle,nwc,nwc_ratio,ebitda_cfo_conversion
2020,2020-12-26,4186.573,1705.237,2481.336,1054.24,623.588,652.342,78.121,34.797,111.086,992.324,1458.442,849.469,762.084,191.569,855.539,244.356,584.21,258.885,181.767,1164.217,7031.373,5516.116,1518.817,1135.267,185.401,-260.524,-461.76,450.631,26.33,80.885,1458.748,431.11,18.127,148.648,0.0,26.33,0.0,0.0,0.0,0.0,112.91799999999999,1167.158,566.8869999999997,723.565,351.0399999999995,,,,0.5926890561803173,0.2787860142412421,0.25181455094656174,0.2370253665707011,0.2711685667489854,,,,-2.5508620083998914,0.0,,949.866,0.8138281192434957,0.04428466910764484,74.0596628794004,163.12140775739675,55.41342640348526,181.7676442333119,1362.4699999999998,0.3254380133823057,0.9726763642968648
2021,2021-12-25,4982.795,2092.336,2890.459,1218.62,721.26,778.75,103.498,35.54,124.596,1082.2,1498.058,843.445,1227.609,328.719,1067.478,215.993,575.08,370.048,225.988,1448.148,7854.427,6114.159,1616.678,1012.427,307.645,-475.369,-486.709,491.457,30.985,92.522,1498.843,40.095,-10.254,20.175,0.0,30.985,0.0,0.0,0.0,0.0,139.038,1357.658,481.3669999999993,852.1119999999999,292.1200000000001,0.1901846689404436,0.16488012909174743,0.16321697662184564,0.5800878824033499,0.27246916640158786,0.2445655500577487,0.21718734164259215,0.20318455806429925,0.14540031439358317,0.1861005006330461,0.3946363230896032,-2.2941978023920604,0.0,,704.782,0.5191160071240328,0.06174145233749331,61.7840840331581,214.15168739628817,64.55345604147709,211.3823153879692,1803.737,0.36199301797485145,0.7457157840929012
2022,2022-12-31,4860.286,2053.511,2806.775,1027.845,944.003,834.927,118.743,30.561,91.389,973.585,1279.194,656.847,1515.045,315.915,1147.005,178.461,567.994,212.417,197.376,1211.635,7731.17,6204.34,1381.648,788.259,244.286,-145.124,-840.617,679.096,22.73,76.801,1279.912,-218.931,-21.449,13.455,201.012,223.742,0.0,0.0,0.0,0.0,149.304,1177.1490000000001,689.0609999999997,801.842,315.19499999999994,-0.02458640180862348,-0.028951803156522793,-0.1329561642180872,0.5774917360830206,0.242197475621805,0.2114782957216921,0.20031434364150588,0.1621836657348971,0.1249339374038736,0.1580687712033747,0.2872240592051236,-2.2604122332856753,0.0,,543.973,0.46211057393753885,0.0502616512690817,49.328198998988945,269.2907050412683,37.7559238786644,280.8629801615929,2078.0139999999997,0.4275497367850369,0.6696340055506992
2023,2023-12-30,5228.252,2223.297,3004.955,1092.16,1008.099,904.696,132.347,30.513,-89.28,1289.636,1693.452,815.243,1345.955,318.556,1224.097,181.145,608.474,253.79,245.874,1310.687,8603.569,7012.06,1399.809,1376.265,193.524,-332.972,-636.509,558.769,22.815,101.422,1694.156,414.244,7.46,150.853,98.988,121.803,0.0,0.0,0.0,0.0,162.86,1255.02,1016.8379999999997,811.0229999999999,280.8219999999992,0.07570871343785135,0.07060772594882025,0.0661522033319486,0.5747532827415357,0.2400458126348921,0.2088958221600642,0.24666676357604794,0.26323616382683923,0.15790102308950268,0.19515692624315242,0.31448563491746623,-2.4647105225414734,0.0,,1182.741,0.9424080891141177,0.03701504824174504,56.91456628333906,220.9662384287839,41.66485629225425,236.21594841986868,1980.09,0.3787288753487781,1.0966080221829135
2024,2024-12-28,6296.903,2600.348,3696.555,1593.994,1108.96,993.601,140.494,30.666,283.965,1411.436,2079.468,983.404,1473.978,353.993,1236.884,154.163,603.947,359.365,216.721,1507.858,9630.527,7848.398,1619.601,1432.471,193.571,-393.333,-626.857,572.355,42.117,137.162,2080.154,385.998,-26.283,16.444,62.348,104.465,0.0,0.0,0.0,0.0,171.16,1765.154,1125.089,931.7719999999999,274.27099999999996,0.20439929062332873,0.23015319696967174,0.40647479721438695,0.5870433449586249,0.2803209768357556,0.2531393607301875,0.2241476484551215,0.2274881795066559,0.15481282976682806,0.18995861365780245,0.32895209277616705,-2.095606955540423,0.0,,1238.9,0.7018651063873181,0.030740667277231362,57.00301560941942,206.8961423624838,50.44256576427463,213.45659220762857,2235.289,0.35498228256017283,0.8115274927853321
