ticker,period_end,basis,rationale,revenue,ebit,net_income,depreciation,amortization,cash,debt,shares,date,price,currency,market_cap,enterprise_value,ebitda,ev_revenue,ev_ebitda,ev_ebit,pe
LOGI,2024-03-31,Historical FY,Consumer electronics and peripherals; March year-end makes this a stale historical reference.,4298.467,587.336,612.143,63.065,21.681,1520.842,0.0,153.863,2025-02-28,98.94000244140625,USD,15223.20559564209,13702.36359564209,672.0820000000001,3.1877326487889963,20.38793420392465,23.3296845343076,24.868708121537107
PII,2024-12-31,Historical FY,Outdoor recreation and discretionary demand; manufacturing intensity differs.,7175.4,290.6,110.8,264.4,21.9,287.8,2032.0,56.1,2025-02-28,44.91999816894531,USD,2520.0118972778323,4264.211897277833,576.9,0.5942821162970472,7.391596285799675,14.6738193299306,22.743789686623035
