year,ebitda,ebit,taxes,fcf,opening_debt,borrowing,mandatory_repayment,optional_repayment,interest,debt,cash,leverage,interest_coverage
2025,2088.9145620000004,1908.7874535605004,317.4418387477051,1177.3996798076378,5295.4619999999995,0.0,52.95462,1124.4450598076378,397.15964999999994,4118.062320192361,300.0,1.9713885838631824,4.806096121699424
2026,2311.417825380001,2119.495972716491,380.2346727274334,1119.552797412724,4118.062320192361,0.0,52.95462,1066.598177412724,308.8546740144271,2998.509522779637,300.0,1.2972598419269683,6.86243774513021
2027,2559.3673671666006,2353.9294533105694,447.0986602114403,1329.018031109134,2998.509522779637,0.0,52.95462,1276.063411109134,224.88821420847276,1669.491491670503,300.0,0.6523063133053647,10.467109010561408
2028,2835.9230663291946,2615.090282715729,522.8744683764926,1567.2395947049183,1669.491491670503,0.0,52.95462,1514.2849747049183,125.21186187528771,102.25189696558459,300.0,0.03605594883007139,20.88532383074365
2029,3144.6721029752953,2906.382179889607,608.7297903996094,1837.9275244169662,102.25189696558459,0.0,52.95462,49.297276965584594,7.668892272418844,0.0,2035.6756274513816,0.0,378.9833103201103
