year,segment_Fitness,segment_Outdoor,segment_Aviation,segment_Marine,segment_Auto OEM,revenue,cogs,rd,cash_sga,capex,depreciation,amortization,da,ebitda,ebit,interest,taxes,net_income,ar,inventory,ap,other_current_assets,accrued,nwc,change_nwc,cfo,fcff,dividends,opening_debt,borrowing,mandatory_repayment,optional_repayment,debt,cash,cfi,cff,cash_change,ppe,intangibles,goodwill,investments,other_assets,other_current_liabilities,other_liabilities,equity,current_liabilities,assets,check_balance,check_cash,check_equity,check_debt,check_ppe
2025,1987.4254400000002,2138.5691,946.7431200000001,1169.7792800000002,720.5315999999999,6963.048540000001,2875.7390470200003,1100.16166932,898.2332616600002,243.70669890000005,149.4611084395,30.666,180.1271084395,2088.9145620000004,1908.7874535605004,0.0,400.84536524770505,1507.9420883127952,1011.0728016986303,1418.172680722192,393.93685575616445,389.93071824000003,236.74365036000003,2188.495694544658,-46.793305455342306,1734.8625022076376,1491.1558033076376,603.1768353251181,0.0,0.0,0.0,0.0,0.0,2967.4469679825193,-243.70669890000005,-603.1768353251181,887.9789679825195,1331.1295904605,123.49700000000001,603.947,1619.601,1125.089,931.7719999999999,274.27099999999996,8753.163252987679,1562.4525061161644,10589.886759103842,-1.8189894035458565e-12,0.0,1.4779288903810084e-12,0.0,-1.4210854715202004e-13
2026,2225.9164928000005,2331.040319,1022.4825696000001,1275.0594152000003,850.2272879999998,7704.726084600001,3182.0518729398,1217.3467213668002,993.9096649134001,269.6654129610001,161.25585266351,30.666,191.92185266351,2311.417825380001,2119.495972716491,0.0,445.0941542704631,1674.4018184460278,1118.768445161096,1569.2310606278465,435.89751684106847,431.46466073760007,261.9606868764001,2421.6059628090743,233.1102682644164,1633.2134028451214,1363.5479898841213,669.7607273784112,0.0,0.0,0.0,0.0,0.0,3661.23423048823,-269.6654129610001,-669.7607273784112,693.7872625057101,1439.53915075799,92.83100000000002,603.947,1619.601,1125.089,931.7719999999999,274.27099999999996,9757.804344055296,1629.6302037174685,11661.705547772763,-1.8189894035458565e-12,-4.547473508864641e-13,1.1368683772161603e-13,0.0,2.842170943040401e-14
2027,2493.0264719360007,2540.8339477100003,1104.2811751680001,1389.8147625680006,1003.2681998399997,8531.224557222002,3523.3957421326863,1347.9334800410763,1100.5279678816382,298.59285950277007,174.77191385603123,30.666,205.43791385603123,2559.3673671666006,2353.9294533105694,0.0,494.32518519521955,1859.60426811535,1238.7805521445646,1737.5650235174892,482.6569509770803,477.7485752044321,290.06163494554806,2681.3755649438576,259.7696021347833,1805.2725798365977,1506.6797203338276,743.84170724614,0.0,0.0,0.0,0.0,0.0,4424.072243575918,-298.59285950277007,-743.84170724614,762.8380130876876,1563.360096404729,62.16500000000002,603.947,1619.601,1125.089,931.7719999999999,274.27099999999996,10873.566904924506,1704.4905859226283,12852.328490847132,-1.8189894035458565e-12,0.0,6.821210263296962e-13,0.0,5.684341886080802e-14
2028,2792.189648568321,2769.5090030039005,1192.6236691814402,1514.8980911991207,1183.8564758111995,9453.076887763982,3904.1207546465243,1493.5861482667092,1219.4469185215537,330.8576910717394,190.16678361346584,30.666,220.83278361346584,2835.9230663291946,2615.090282715729,0.0,549.168959370303,2065.9213233454257,1372.638561784907,1925.3198242092449,534.8110622803458,529.372305714783,321.4046141839754,2971.1150152446144,289.73945030075674,1997.0146566581348,1666.1569655863955,826.3685293381703,0.0,0.0,0.0,0.0,0.0,5263.8606798241435,-330.8576910717394,-826.3685293381703,839.7884362482251,1704.0510038630025,31.49900000000002,603.947,1619.601,1125.089,931.7719999999999,274.27099999999996,12113.119698931763,1787.987676464321,14175.378375396082,-3.637978807091713e-12,0.0,1.7053025658242404e-12,0.0,5.684341886080802e-14
2029,3127.2524063965197,3018.7648132742515,1288.0335627159554,1651.2389194070417,1396.9506414572154,10482.240343250984,4329.165261762656,1656.1939742336554,1352.2090042793768,366.87841201378444,207.6239230856884,30.666,238.2899230856884,3144.6721029752953,2906.382179889607,0.0,610.3402577768175,2296.0419221127895,1522.0787347734306,2134.93081401994,593.0363372277611,587.0054592220552,356.3961716705335,3294.5824991171307,323.46748387251637,2210.8643613259615,1843.9859493121771,918.4167688451158,0.0,0.0,0.0,0.0,0.0,6189.429860291204,-366.87841201378444,-918.4167688451158,925.5691804670613,1863.3054927910987,0.8330000000000197,603.947,1619.601,1125.089,931.7719999999999,274.27099999999996,13490.744852199437,1881.2045088982945,15646.220361097729,-3.637978807091713e-12,9.094947017729282e-13,5.684341886080801e-13,0.0,1.4210854715202004e-13
