,0.01,0.02,0.025,0.03,0.035
0.07,141.81230811137434,161.8549405741421,175.21669554932058,191.9188892682937,213.39313833554488
0.08,123.84713125178968,137.64038785422917,146.41791478305427,156.95094709764444,169.8246532599213
0.09,110.38811041226765,120.35861434760126,126.49430907703729,133.6526195947127,142.1124411156018
0.1,99.93256097205244,107.4092254365962,111.89522411532243,117.02207974815245,122.93768240141786
0.11,91.57890484034093,97.34758822705605,100.740931395712,104.55844246044994,108.88495500048627
