scenario,revenue_year5,dcf_ev,dcf_per_share,irr,moic,max_entry_ev,exit_debt,funding_required
base,9139.007602390386,20823.652549491962,127.41194146295469,0.10520592382461769,1.6489823994462198,19163.18373540575,0.0,0.0
upside,10482.240343250984,25171.269113633294,150.00071759270784,0.18805792102652075,2.366944479333693,25419.623697136274,0.0,0.0
downside,6865.464525226461,13692.571745569283,90.36120677499264,-0.08349103247390455,0.6466713094366113,10428.879608083818,2474.489283791838,0.0
