year,segment_Fitness,segment_Outdoor,segment_Aviation,segment_Marine,segment_Auto OEM,revenue,cogs,rd,cash_sga,capex,depreciation,amortization,da,ebitda,ebit,interest,taxes,net_income,ar,inventory,ap,other_current_assets,accrued,nwc,change_nwc,cfo,fcff,dividends,opening_debt,borrowing,mandatory_repayment,optional_repayment,debt,cash,cfi,cff,cash_change,ppe,intangibles,goodwill,investments,other_assets,other_current_liabilities,other_liabilities,equity,current_liabilities,assets,check_balance,check_cash,check_equity,check_debt,check_ppe
2025,1827.72161,1961.99,867.84786,1073.192,665.5758,6396.32727,2641.68316251,1010.61970866,1208.90585403,287.83472715,151.88814999325,30.666,182.55414999325,1535.1185447999999,1352.56439480675,0.0,284.0385229094175,1068.5258718973325,1139.0719795890411,1664.6222667871232,361.87440582328765,358.19432711999997,217.47512718000002,2582.539040492876,347.250040492876,903.8299813977064,615.9952542477065,427.410348758933,0.0,0.0,0.0,0.0,0.0,2268.052905488773,-287.83472715,-427.410348758933,188.58490548877347,1372.83057715675,123.49700000000001,603.947,1619.601,1125.089,931.7719999999999,274.27099999999996,8489.5135231384,1511.1215330032876,10274.906056141688,0.0,4.547473508864641e-13,-3.979039320256561e-13,0.0,0.0
2026,1882.5532583000002,1961.99,859.1693813999999,1073.192,725.4776219999999,6502.3822617,2685.4838740820996,1027.3763973486,1228.9502474613,292.60720177649995,167.10475958495,30.666,197.77075958494999,1560.5717428079997,1362.8009832230498,0.0,286.18820647684043,1076.6127767462094,1157.958484960274,1692.2227151750217,367.8745032989178,364.13340665519996,221.0809968978,2625.3591065937776,42.820066100901386,1231.563470230258,938.956268453758,430.6451106984838,0.0,0.0,0.0,0.0,0.0,2776.364063244047,-292.60720177649995,-430.6451106984838,508.31115775527417,1498.3330193483,92.83100000000002,603.947,1619.601,1125.089,931.7719999999999,274.27099999999996,9135.481189186125,1520.7275001967178,10930.479689382842,0.0,0.0,-3.410605131648481e-13,0.0,5.684341886080802e-14
2027,1939.0298560490003,1961.99,850.5776875859999,1073.192,790.7706079799998,6615.560151615,2732.2263426169948,1045.25850395517,1250.340868655235,297.700206822675,181.19014350356014,30.666,211.85614350356013,1587.7344363876002,1375.87829288404,0.0,288.9344415056484,1086.9438513783916,1178.1134516574657,1721.676873429887,374.27758118041027,370.47136849044,224.92904515491003,2671.0550672424724,45.695960648694836,1253.104034233257,955.4038274105819,434.77754055135665,0.0,0.0,0.0,0.0,0.0,3296.9903501032722,-297.700206822675,-434.77754055135665,520.6262868592253,1614.8430826674148,62.16500000000002,603.947,1619.601,1125.089,931.7719999999999,274.27099999999996,9787.64750001316,1530.9786263353203,11592.89712634848,0.0,0.0,0.0,0.0,-5.684341886080802e-14
2028,1997.2007517304703,1961.99,842.07191071014,1073.192,861.9399626981997,6736.39462513881,2782.130980182328,1064.350350771932,1273.178584151235,303.1377581312464,194.30531579063418,30.666,224.97131579063418,1616.7347100333145,1391.7633942426803,0.0,292.27031279096286,1099.4930814517174,1199.6319195452675,1753.1236313477684,381.11383290168874,377.23809900777337,229.03741725471954,2719.842399744401,48.78733250192863,1275.677064740423,972.5393066091766,439.797232580687,0.0,0.0,0.0,0.0,0.0,3829.732424131762,-303.1377581312464,-439.797232580687,532.7420740284896,1723.6755250080269,31.49900000000002,603.947,1619.601,1125.089,931.7719999999999,274.27099999999996,10447.34334888419,1541.9232501564084,12263.537599040597,-1.8189894035458565e-12,0.0,-6.821210263296962e-13,0.0,-1.9895196601282805e-13
2029,2057.1167742823845,1961.99,833.6511916030386,1073.192,939.5145593410375,6865.464525226461,2835.436848918528,1084.743394985781,1297.5727952678012,308.94590363519075,206.59633245081847,30.666,237.26233245081846,1647.7114860543506,1410.449153603532,0.0,296.1943222567417,1114.2548313467903,1222.616970245808,1786.713630825374,388.41600670116827,384.46601341268183,233.4257938576997,2771.954813924996,52.1124141805949,1299.4047496170137,990.4588459818231,445.70193253871616,0.0,0.0,0.0,0.0,0.0,4374.489337574868,-308.94590363519075,-445.70193253871616,544.7569134431069,1826.0250961923991,0.8330000000000197,603.947,1619.601,1125.089,931.7719999999999,274.27099999999996,11115.896247692264,1553.6138005588678,12943.78104825113,-1.8189894035458565e-12,9.094947017729282e-13,9.094947017729282e-13,0.0,0.0
