year,period_end,revenue,cogs,gross_profit,ebit,sga,rd,depreciation,amortization,taxes,net_income,cash,ar,inventory,other_current_assets,ppe,intangibles,goodwill,ap,accrued,current_liabilities,assets,equity,investments,cfo,capex,cfi,cff,dividends,employee_share_withholding,sbc,restricted_cash_total,cash_change,fx_cash,acquisitions,repurchase_plan,buybacks,debt,interest,debt_issuance,debt_repayment,da,ebitda,other_assets,other_current_liabilities,other_liabilities
2020,2020-12-26,4186.573,1705.237,2481.336,1054.24,623.588,652.342,78.121,34.797,111.086,992.324,1458.442,849.469,762.084,191.569,855.539,244.356,584.21,258.885,181.767,1164.217,7031.373,5516.116,1518.817,1135.267,185.401,-260.524,-461.76,450.631,26.33,80.885,1458.748,431.11,18.127,148.648,0.0,26.33,0.0,0.0,0.0,0.0,112.91799999999999,1167.158,566.8869999999997,723.565,351.0399999999995
2021,2021-12-25,4982.795,2092.336,2890.459,1218.62,721.26,778.75,103.498,35.54,124.596,1082.2,1498.058,843.445,1227.609,328.719,1067.478,215.993,575.08,370.048,225.988,1448.148,7854.427,6114.159,1616.678,1012.427,307.645,-475.369,-486.709,491.457,30.985,92.522,1498.843,40.095,-10.254,20.175,0.0,30.985,0.0,0.0,0.0,0.0,139.038,1357.658,481.3669999999993,852.1119999999999,292.1200000000001
2022,2022-12-31,4860.286,2053.511,2806.775,1027.845,944.003,834.927,118.743,30.561,91.389,973.585,1279.194,656.847,1515.045,315.915,1147.005,178.461,567.994,212.417,197.376,1211.635,7731.17,6204.34,1381.648,788.259,244.286,-145.124,-840.617,679.096,22.73,76.801,1279.912,-218.931,-21.449,13.455,201.012,223.742,0.0,0.0,0.0,0.0,149.304,1177.1490000000001,689.0609999999997,801.842,315.19499999999994
2023,2023-12-30,5228.252,2223.297,3004.955,1092.16,1008.099,904.696,132.347,30.513,-89.28,1289.636,1693.452,815.243,1345.955,318.556,1224.097,181.145,608.474,253.79,245.874,1310.687,8603.569,7012.06,1399.809,1376.265,193.524,-332.972,-636.509,558.769,22.815,101.422,1694.156,414.244,7.46,150.853,98.988,121.803,0.0,0.0,0.0,0.0,162.86,1255.02,1016.8379999999997,811.0229999999999,280.8219999999992
2024,2024-12-28,6296.903,2600.348,3696.555,1593.994,1108.96,993.601,140.494,30.666,283.965,1411.436,2079.468,983.404,1473.978,353.993,1236.884,154.163,603.947,359.365,216.721,1507.858,9630.527,7848.398,1619.601,1432.471,193.571,-393.333,-626.857,572.355,42.117,137.162,2080.154,385.998,-26.283,16.444,62.348,104.465,0.0,0.0,0.0,0.0,171.16,1765.154,1125.089,931.7719999999999,274.27099999999996
